id,name,value,min,max,crop_id,parameter_id
1,CropType,3,,,11,1
2,Tbase,0,,,11,2
3,Tupp,15,,,11,3
4,SeedSize,1.5,,,11,4
5,PlantPop,1500000,1500000,3000000,11,5
6,Emergence,98,90,200,11,6
7,CGC,0.008,,,11,7
8,CCx,80,50,99,11,8
9,Senescence,924,900,2000,11,9
10,CDC,0.006,,,11,10
11,Maturity,1296,,,11,11
12,MaxRooting,854,,,11,12
13,,,700,1300,11,13
14,Flowering,160,150,250,11,14
15,Determinant,1,,,11,15
16,MaxFlowPct,33.33,,,11,16
17,HIstart,867,,,11,17
18,YldForm,351,,,11,18
19,CCmin,0.0225,,,11,19
20,Zmin,0.3,,,11,20
21,Zmax,1.3,,2.5,11,21
22,PctZmin,70,,,11,22
23,fshape_r,15,,,11,23
24,Kcb,1.1,,,11,24
25,fage,0.15,,,11,25
26,fwcc,50,,,11,26
27,SxTopQ,0.019,,,11,27
28,SxBotQ,0.006,,,11,28
29,a_Tr,1,,,11,29
30,WP,15,,,11,30
31,WPy,100,,,11,31
32,fsink,0.5,,,11,32
33,bsted,0.000138,,,11,33
34,bface,0.001165,,,11,34
35,HI0,33,30,50,11,35
36,HIini,0.01,,,11,36
37,dHI_pre,5,,,11,37
38,exc,100,,,11,38
39,a_HI,10,,,11,39
40,b_HI,5,,,11,40
41,dHI0,15,,,11,41
42,p_up1,0.2,,,11,42
43,p_lo1,0.65,,,11,43
44,fshape_w1,3,,,11,44
45,p_up2,0.6,,,11,45
46,p_lo2,1,,,11,46
47,fshape_w2,3,,,11,47
48,p_up3,0.55,,,11,48
49,p_lo3,1,,,11,49
50,beta,12,,,11,50
51,fshape_w3,3,,,11,51
52,,,,,11,52
53,p_up4,0.85,,,11,53
54,p_lo4,1,,,11,54
55,fshape_w4,1,,,11,55
56,Aer,15,,,11,56
57,LagAer,3,,,11,57
58,fshape_ex,-6,,,11,58
59,ETadj,1,,,11,59
60,GermThr,0.2,,,11,60
61,PolHeatStress,1,,,11,61
62,PolColdStress,1,,,11,62
63,Tmin_up,5,,,11,63
64,Tmin_lo,0,,,11,64
65,Tmax_up,35,,,11,65
66,Tmax_lo,40,,,11,66
67,BioTempStress,1,,,11,67
68,GDD_up,14,,,11,68
69,GDD_lo,0,,,11,69
70,fshape_b,13.8135,,,11,70
71,Ece_n,6,,,11,71
72,Ece_x,20.1,,,11,72
