id,name,value,min,max,crop_id,parameter_id
1,CropType,3,,,1,1
2,Tbase,12,,,1,2
3,Tupp,35,,,1,3
4,SeedSize,6,5,7,1,4
5,PlantPop,120000,60000,150000,1,5
6,Emergence,12,10,80,1,6
7,CGC,0.006503,0.006,0.008,1,7
8,CCx,0.98,,,1,8
9,Senescence,1601,,,1,9
10,CDC,0.002465,0.002,0.003,1,10
11,Maturity,1956,,,1,11
12,MaxRooting,956,,,1,12
13,,,,,1,13
14,Flowering,709,450,750,1,14
15,Determinant,0,,,1,15
16,MaxFlowPct,33.33,,,1,16
17,HIstart,502,,,1,17
18,YldForm,1403,,,1,18
19,CCmin,0.0072,,,1,19
20,Zmin,0.3,,,1,20
21,Zmax,2,,2.5,1,21
22,PctZmin,70,,,1,22
23,fshape_r,1.5,,,1,23
24,Kcb,1.1,,,1,24
25,fage,0.3,,,1,25
26,fwcc,60,,,1,26
27,SxTopQ,0.052,,,1,27
28,SxBotQ,0.015,,,1,28
29,a_Tr,1,,,1,29
30,WP,15,,,1,30
31,WPy,70,,,1,31
32,fsink,0.5,,,1,32
33,bsted,0.000138,,,1,33
34,bface,0.001165,,,1,34
35,HI0,35,25,40,1,35
36,HIini,0.01,,,1,36
37,dHI_pre,5,,,1,37
38,exc,200,,,1,38
39,a_HI,2,,,1,39
40,b_HI,10,,,1,40
41,dHI0,30,,,1,41
42,p_up1,0.2,,,1,42
43,p_lo1,0.7,,,1,43
44,fshape_w1,3,,,1,44
45,p_up2,0.65,,,1,45
46,p_lo2,1,,,1,46
47,fshape_w2,2.5,,,1,47
48,p_up3,0.75,,,1,48
49,p_lo3,1,,,1,49
50,beta,12,,,1,50
51,fshape_w3,2.5,,,1,51
52,,,,,1,52
53,p_up4,0.85,,,1,53
54,p_lo4,1,,,1,54
55,fshape_w4,1,,,1,55
56,Aer,5,,,1,56
57,LagAer,3,,,1,57
58,fshape_ex,-6,,,1,58
59,ETadj,1,,,1,59
60,GermThr,0.2,,,1,60
61,PolHeatStress,1,,,1,61
62,PolColdStress,1,,,1,62
63,Tmin_up,15,,,1,63
64,Tmin_lo,10,,,1,64
65,Tmax_up,43,40,45,1,65
66,Tmax_lo,48,,,1,66
67,BioTempStress,0,,,1,67
68,GDD_up,,,,1,68
69,GDD_lo,,,,1,69
70,fshape_b,13.8135,,,1,70
71,Ece_n,7.7,,,1,71
72,Ece_x,26.9,,,1,72
