id,name,value,min,max,crop_id,parameter_id
1,CropType,,,,15,1
2,Tbase,9,,,15,2
3,Tupp,30,,,15,3
4,SeedSize,10,,,15,4
5,PlantPop,,,,15,5
6,Emergence,59,,,15,6
7,CGC,11.8,,,15,7
8,CCx,99,,,15,8
9,Senescence,903,,,15,9
10,CDC,0.881,,,15,10
11,Maturity,1298,,,15,11
12,MaxRooting,,,,15,12
13,,556,,,15,13
14,Flowering,233,,,15,14
15,Determinant,,,,15,15
16,MaxFlowPct,33.33,,,15,16
17,HIstart,,,,15,17
18,YldForm,,,,15,18
19,CCmin,,,,15,19
20,Zmin,,,,15,20
21,Zmax,1.7,,,15,21
22,PctZmin,70,,,15,22
23,fshape_r,1.5,,,15,23
24,Kcb,1.05,,,15,24
25,fage,,,,15,25
26,fwcc,,,,15,26
27,SxTopQ,,,,15,27
28,SxBotQ,,,,15,28
29,a_Tr,1,,,15,29
30,WP,15,,,15,30
31,WPy,90,,,15,31
32,fsink,0.5,,,15,32
33,bsted,0.000138,,,15,33
34,bface,0.001165,,,15,34
35,HI0,40,,,15,35
36,HIini,0.01,,,15,36
37,dHI_pre,,,,15,37
38,exc,,,,15,38
39,a_HI,,,,15,39
40,b_HI,,,,15,40
41,dHI0,10,,,15,41
42,p_up1,0.65,,,15,42
43,p_lo1,0.15,,,15,43
44,fshape_w1,2.5,,,15,44
45,p_up2,0.6,,,15,45
46,p_lo2,1,,,15,46
47,fshape_w2,2.5,,,15,47
48,p_up3,0.7,,,15,48
49,p_lo3,1,,,15,49
50,beta,12,,,15,50
51,fshape_w3,2.5,,,15,51
52,,,,,15,52
53,p_up4,,,,15,53
54,p_lo4,1,,,15,54
55,fshape_w4,1,,,15,55
56,Aer,,,,15,56
57,LagAer,3,,,15,57
58,fshape_ex,-6,,,15,58
59,ETadj,1,,,15,59
60,GermThr,0.2,,,15,60
61,PolHeatStress,,,,15,61
62,PolColdStress,,,,15,62
63,Tmin_up,,,,15,63
64,Tmin_lo,,,,15,64
65,Tmax_up,,,,15,65
66,Tmax_lo,,,,15,66
67,BioTempStress,,,,15,67
68,GDD_up,,,,15,68
69,GDD_lo,0,,,15,69
70,fshape_b,13.8135,,,15,70
71,Ece_n,,,,15,71
72,Ece_x,,,,15,72
