id,name,value,min,max,crop_id,parameter_id
1,CropType,3,,,5,1
2,Tbase,8,,,5,2
3,Tupp,30,,,5,3
4,SeedSize,6,3,8,5,4
5,PlantPop,1000000,300000,1500000,5,5
6,Emergence,50,35,100,5,6
7,CGC,0.007,0.006,0.008,5,7
8,CCx,0.95,,,5,8
9,Senescence,1300,,,5,9
10,CDC,0.005,,,5,10
11,Maturity,1900,,,5,11
12,MaxRooting,370,,,5,12
13,,,,,5,13
14,Flowering,350,300,400,5,14
15,Determinant,1,,,5,15
16,MaxFlowPct,33.33,,,5,16
17,HIstart,1150,,,5,17
18,YldForm,680,,,5,18
19,CCmin,0.06,,,5,19
20,Zmin,0.3,,,5,20
21,Zmax,0.5,,0.6,5,21
22,PctZmin,70,,,5,22
23,fshape_r,2.5,2,3,5,23
24,Kcb,1.1,,,5,24
25,fage,0.15,,,5,25
26,fwcc,50,,,5,26
27,SxTopQ,0.048,,,5,27
28,SxBotQ,0.012,,,5,28
29,a_Tr,1,,,5,29
30,WP,19,,,5,30
31,WPy,100,,,5,31
32,fsink,0.5,,,5,32
33,bsted,0.000138,,,5,33
34,bface,0.001165,,,5,34
35,HI0,43,35,50,5,35
36,HIini,0.01,,,5,36
37,dHI_pre,0,,,5,37
38,exc,100,,,5,38
39,a_HI,10,,,5,39
40,b_HI,7,,,5,40
41,dHI0,15,,,5,41
42,p_up1,0,,,5,42
43,p_lo1,0.4,,,5,43
44,fshape_w1,3,,,5,44
45,p_up2,0.5,,,5,45
46,p_lo2,1,,,5,46
47,fshape_w2,3,,,5,47
48,p_up3,0.55,,,5,48
49,p_lo3,1,,,5,49
50,beta,12,,,5,50
51,fshape_w3,3,,,5,51
52,,,,,5,52
53,p_up4,0.75,,,5,53
54,p_lo4,1,,,5,54
55,fshape_w4,1,,,5,55
56,Aer,5,,,5,56
57,LagAer,3,,,5,57
58,fshape_ex,-6,,,5,58
59,ETadj,1,,,5,59
60,GermThr,0.2,,,5,60
61,PolHeatStress,1,,,5,61
62,PolColdStress,1,,,5,62
63,Tmin_up,8,,,5,63
64,Tmin_lo,3,,,5,64
65,Tmax_up,35,,,5,65
66,Tmax_lo,40,,,5,66
67,BioTempStress,1,,,5,67
68,GDD_up,10,,,5,68
69,GDD_lo,0,,,5,69
70,fshape_b,13.8135,,,5,70
71,Ece_n,3,,,5,71
72,Ece_x,11.3,,,5,72
