id,name,value,min,max,crop_id,parameter_id
1,CropType,3,,,4,1
2,Tbase,2,0,3,4,2
3,Tupp,30,,,4,3
4,SeedSize,6.5,,,4,4
5,PlantPop,200000,5000,300000,4,5
6,Emergence,7,5,10,4,6
7,CGC,0.1,,,4,7
8,CCx,75,50,100,4,8
9,Senescence,160,,,4,9
10,CDC,0.1,,,4,10
11,Maturity,180,,,4,11
12,MaxRooting,83,,,4,12
13,,,,,4,13
14,Flowering,20,15,20,4,14
15,Determinant,0,,,4,15
16,MaxFlowPct,33.33,,,4,16
17,HIstart,70,,,4,17
18,YldForm,90,,,4,18
19,CCmin,0.013,,,4,19
20,Zmin,0.3,,,4,20
21,Zmax,1,,1,4,21
22,PctZmin,70,,,4,22
23,fshape_r,1.5,,,4,23
24,Kcb,1.1,,,4,24
25,fage,0.15,,,4,25
26,fwcc,60,,,4,26
27,SxTopQ,0.024,,,4,27
28,SxBotQ,0.006,,,4,28
29,a_Tr,1,,,4,29
30,WP,10.5,,,4,30
31,WPy,90,,,4,31
32,fsink,0.5,,,4,32
33,bsted,0.000138,,,4,33
34,bface,0.001165,,,4,34
35,HI0,50,,,4,35
36,HIini,0.01,,,4,36
37,dHI_pre,0,,,4,37
38,exc,50,,,4,38
39,a_HI,,,,4,39
40,b_HI,9,,,4,40
41,dHI0,10,,,4,41
42,p_up1,0.5,,,4,42
43,p_lo1,0.8,,,4,43
44,fshape_w1,4,,,4,44
45,p_up2,0.6,,,4,45
46,p_lo2,1,,,4,46
47,fshape_w2,4,,,4,47
48,p_up3,0.98,,,4,48
49,p_lo3,1,,,4,49
50,beta,12,,,4,50
51,fshape_w3,4,,,4,51
52,,200,,,4,52
53,p_up4,0.9,,,4,53
54,p_lo4,1,,,4,54
55,fshape_w4,1,,,4,55
56,Aer,5,,,4,56
57,LagAer,3,,,4,57
58,fshape_ex,-6,,,4,58
59,ETadj,1,,,4,59
60,GermThr,0.2,,,4,60
61,PolHeatStress,0,,,4,61
62,PolColdStress,0,,,4,62
63,Tmin_up,,,,4,63
64,Tmin_lo,,,,4,64
65,Tmax_up,,,,4,65
66,Tmax_lo,,,,4,66
67,BioTempStress,0,,,4,67
68,GDD_up,,,,4,68
69,GDD_lo,,,,4,69
70,fshape_b,13.8135,,,4,70
71,Ece_n,5,,,4,71
72,Ece_x,18,,,4,72
