id,name,value,min,max,crop_id,parameter_id
1,CropType,3,,,13,1
2,Tbase,8,,,13,2
3,Tupp,30,,,13,3
4,SeedSize,3,,,13,4
5,PlantPop,200000,,,13,5
6,Emergence,136,7,13,13,6
7,CGC,0.16,,,13,7
8,CCx,90,60,98,13,8
9,Senescence,91,,,13,9
10,CDC,0.01,,,13,10
11,Maturity,102,,,13,11
12,MaxRooting,1583,,,13,12
13,,65,,,13,13
14,Flowering,20,,,13,14
15,Determinant,1,,,13,15
16,MaxFlowPct,33.33,,,13,16
17,HIstart,1041,,,13,17
18,YldForm,719,,,13,18
19,CCmin,0.006,,,13,19
20,Zmin,0.3,,,13,20
21,Zmax,1.8,,2.8,13,21
22,PctZmin,70,,,13,22
23,fshape_r,1.3,,,13,23
24,Kcb,1.07,,,13,24
25,fage,0.3,,,13,25
26,fwcc,50,,,13,26
27,SxTopQ,0.016,,,13,27
28,SxBotQ,0.004,,,13,28
29,a_Tr,1,,,13,29
30,WP,33.7,,,13,30
31,WPy,100,,,13,31
32,fsink,0.5,,,13,32
33,bsted,0.000138,,,13,33
34,bface,0.001165,,,13,34
35,HI0,45,,,13,35
36,HIini,0.01,,,13,36
37,dHI_pre,4,,,13,37
38,exc,100,,,13,38
39,a_HI,1,,,13,39
40,b_HI,3,,,13,40
41,dHI0,25,,,13,41
42,p_up1,0.15,,,13,42
43,p_lo1,0.7,,,13,43
44,fshape_w1,3,,,13,44
45,p_up2,0.7,,,13,45
46,p_lo2,1,,,13,46
47,fshape_w2,6,,,13,47
48,p_up3,0.7,,,13,48
49,p_lo3,1,,,13,49
50,beta,12,,,13,50
51,fshape_w3,3,,,13,51
52,,,,,13,52
53,p_up4,0.8,,,13,53
54,p_lo4,1,,,13,54
55,fshape_w4,1,,,13,55
56,Aer,5,,,13,56
57,LagAer,3,,,13,57
58,fshape_ex,-6,,,13,58
59,ETadj,1,,,13,59
60,GermThr,0.2,,,13,60
61,PolHeatStress,1,,,13,61
62,PolColdStress,1,,,13,62
63,Tmin_up,10,,,13,63
64,Tmin_lo,5,,,13,64
65,Tmax_up,40,,,13,65
66,Tmax_lo,45,,,13,66
67,BioTempStress,1,,,13,67
68,GDD_up,12,,,13,68
69,GDD_lo,0,,,13,69
70,fshape_b,13.8135,,,13,70
71,Ece_n,6.8,,,13,71
72,Ece_x,13.1,,,13,72
