id,name,value,min,max,crop_id,parameter_id
1,CropType,3,,,6,1
2,Tbase,5,,,6,2
3,Tupp,30,,,6,3
4,SeedSize,5,,,6,4
5,PlantPop,330000,250000,450000,6,5
6,Emergence,200,150,300,6,6
7,CGC,0.005,0.004,0.005,6,7
8,CCx,0.98,,,6,8
9,Senescence,2200,,,6,9
10,CDC,0.015,,,6,10
11,Maturity,2700,,,6,11
12,MaxRooting,1934,,,6,12
13,,,,,6,13
14,Flowering,600,400,800,6,14
15,Determinant,1,,,6,15
16,MaxFlowPct,33.33,,,6,16
17,HIstart,1500,,,6,17
18,YldForm,1180,,,6,18
19,CCmin,0.0165,,,6,19
20,Zmin,0.3,,,6,20
21,Zmax,2,,2.4,6,21
22,PctZmin,70,,,6,22
23,fshape_r,1.5,,,6,23
24,Kcb,1.1,,,6,24
25,fage,0.3,,,6,25
26,fwcc,25,,,6,26
27,SxTopQ,0.012,,,6,27
28,SxBotQ,0.003,,,6,28
29,a_Tr,1,,,6,29
30,WP,15,,,6,30
31,WPy,60,,,6,31
32,fsink,0.5,,,6,32
33,bsted,0.000138,,,6,33
34,bface,0.001165,,,6,34
35,HI0,40,,,6,35
36,HIini,0.01,,,6,36
37,dHI_pre,3,,,6,37
38,exc,50,,,6,38
39,a_HI,,,,6,39
40,b_HI,3,,,6,40
41,dHI0,10,,,6,41
42,p_up1,0.15,,,6,42
43,p_lo1,0.65,,,6,43
44,fshape_w1,3,,,6,44
45,p_up2,0.5,,,6,45
46,p_lo2,1,,,6,46
47,fshape_w2,3,,,6,47
48,p_up3,0.7,,,6,48
49,p_lo3,1,,,6,49
50,beta,12,,,6,50
51,fshape_w3,3,,,6,51
52,,,,,6,52
53,p_up4,0.85,,,6,53
54,p_lo4,1,,,6,54
55,fshape_w4,1,,,6,55
56,Aer,5,,,6,56
57,LagAer,3,,,6,57
58,fshape_ex,-6,,,6,58
59,ETadj,1,,,6,59
60,GermThr,0.2,,,6,60
61,PolHeatStress,1,,,6,61
62,PolColdStress,1,,,6,62
63,Tmin_up,8,,,6,63
64,Tmin_lo,3,,,6,64
65,Tmax_up,40,,,6,65
66,Tmax_lo,45,,,6,66
67,BioTempStress,1,,,6,67
68,GDD_up,10,,,6,68
69,GDD_lo,0,,,6,69
70,fshape_b,13.8135,,,6,70
71,Ece_n,5,,,6,71
72,Ece_x,10,,,6,72
