id,name,value,min,max,crop_id,parameter_id
1,CropType,2,,,7,1
2,Tbase,5,,,7,2
3,Tupp,30,,,7,3
4,SeedSize,1,,,7,4
5,PlantPop,100000,80000,120000,7,5
6,Emergence,23,20,50,7,6
7,CGC,0.010541,0.01,0.012,7,7
8,CCx,0.98,,,7,8
9,Senescence,1704,,,7,9
10,CDC,0.003857,0.003,0.004,7,10
11,Maturity,2203,,,7,11
12,MaxRooting,408,,,7,12
13,,,,,7,13
14,Flowering,0,,,7,14
15,Determinant,0,,,7,15
16,MaxFlowPct,33.33,,,7,16
17,HIstart,865,,,7,17
18,YldForm,1301,,,7,18
19,CCmin,0.001,,,7,19
20,Zmin,0.3,,,7,20
21,Zmax,1,,2.4,7,21
22,PctZmin,70,,,7,22
23,fshape_r,1.5,,,7,23
24,Kcb,1.1,,,7,24
25,fage,0.15,,,7,25
26,fwcc,60,,,7,26
27,SxTopQ,0.025,,,7,27
28,SxBotQ,0.006,,,7,28
29,a_Tr,1,,,7,29
30,WP,17,,,7,30
31,WPy,100,,,7,31
32,fsink,0.5,,,7,32
33,bsted,0.000138,,,7,33
34,bface,0.001165,,,7,34
35,HI0,0.7,65,75,7,35
36,HIini,0.01,,,7,36
37,dHI_pre,0,,,7,37
38,exc,100,,,7,38
39,a_HI,4,,,7,39
40,b_HI,,,,7,40
41,dHI0,20,,,7,41
42,p_up1,0.25,,,7,42
43,p_lo1,0.7,,,7,43
44,fshape_w1,4,,,7,44
45,p_up2,0.65,,,7,45
46,p_lo2,1,,,7,46
47,fshape_w2,2.5,,,7,47
48,p_up3,0.75,,,7,48
49,p_lo3,1,,,7,49
50,beta,12,,,7,50
51,fshape_w3,2.5,,,7,51
52,,,,,7,52
53,p_up4,1,,,7,53
54,p_lo4,1,,,7,54
55,fshape_w4,1,,,7,55
56,Aer,5,,,7,56
57,LagAer,3,,,7,57
58,fshape_ex,-6,,,7,58
59,ETadj,1,,,7,59
60,GermThr,0.2,,,7,60
61,PolHeatStress,0,,,7,61
62,PolColdStress,0,,,7,62
63,Tmin_up,,,,7,63
64,Tmin_lo,,,,7,64
65,Tmax_up,,,,7,65
66,Tmax_lo,,,,7,66
67,BioTempStress,0,,,7,67
68,GDD_up,9,,,7,68
69,GDD_lo,0,,,7,69
70,fshape_b,13.8135,,,7,70
71,Ece_n,7,,,7,71
72,Ece_x,24,,,7,72
