id,name,value,min,max,crop_id,parameter_id
1,CropType,1,,,12,1
2,Tbase,9,,,12,2
3,Tupp,32,,,12,3
4,SeedSize,6.5,,,12,4
5,PlantPop,140000,,,12,5
6,Emergence,7,,,12,6
7,CGC,0.12548,,,12,7
8,CCx,95,,,12,8
9,Senescence,330,,,12,9
10,CDC,0.07615,,,12,10
11,Maturity,365,,,12,11
12,MaxRooting,60,,,12,12
13,,,,,12,13
14,Flowering,,,,12,14
15,Determinant,0,,,12,15
16,MaxFlowPct,33.33,,,12,16
17,HIstart,0,,,12,17
18,YldForm,73,,,12,18
19,CCmin,0.0091,,,12,19
20,Zmin,0.3,,,12,20
21,Zmax,1.8,,,12,21
22,PctZmin,70,,,12,22
23,fshape_r,1.3,,,12,23
24,Kcb,1.1,,,12,24
25,fage,0.15,,,12,25
26,fwcc,60,,,12,26
27,SxTopQ,0.013,,,12,27
28,SxBotQ,0.003,,,12,28
29,a_Tr,1,,,12,29
30,WP,30,,,12,30
31,WPy,100,,,12,31
32,fsink,0.5,,,12,32
33,bsted,0.000138,,,12,33
34,bface,0.001165,,,12,34
35,HI0,35,,,12,35
36,HIini,0.01,,,12,36
37,dHI_pre,0,,,12,37
38,exc,0,,,12,38
39,a_HI,,,,12,39
40,b_HI,,,,12,40
41,dHI0,,,,12,41
42,p_up1,0.25,,,12,42
43,p_lo1,0.55,,,12,43
44,fshape_w1,3,,,12,44
45,p_up2,0.5,,,12,45
46,p_lo2,1,,,12,46
47,fshape_w2,3,,,12,47
48,p_up3,0.6,,,12,48
49,p_lo3,1,,,12,49
50,beta,12,,,12,50
51,fshape_w3,3,,,12,51
52,,,,,12,52
53,p_up4,1,,,12,53
54,p_lo4,1,,,12,54
55,fshape_w4,1,,,12,55
56,Aer,5,,,12,56
57,LagAer,3,,,12,57
58,fshape_ex,-6,,,12,58
59,ETadj,1,,,12,59
60,GermThr,0.2,,,12,60
61,PolHeatStress,0,,,12,61
62,PolColdStress,0,,,12,62
63,Tmin_up,,,,12,63
64,Tmin_lo,,,,12,64
65,Tmax_up,,,,12,65
66,Tmax_lo,,,,12,66
67,BioTempStress,1,,,12,67
68,GDD_up,12,,,12,68
69,GDD_lo,0,,,12,69
70,fshape_b,13.8135,,,12,70
71,Ece_n,1.7,,,12,71
72,Ece_x,18.6,,,12,72
