id,name,value,min,max,crop_id,parameter_id
1,CropType,3,,,8,1
2,Tbase,4,,,8,2
3,Tupp,30,,,8,3
4,SeedSize,5,,,8,4
5,PlantPop,57000,50000,70000,8,5
6,Emergence,170,150,200,8,6
7,CGC,0.015,,,8,7
8,CCx,0.98,,,8,8
9,Senescence,1900,,,8,9
10,CDC,0.006,,,8,10
11,Maturity,2400,,,8,11
12,MaxRooting,1784,,,8,12
13,,,,,8,13
14,Flowering,350,300,400,8,14
15,Determinant,1,,,8,15
16,MaxFlowPct,33.33,,,8,16
17,HIstart,1266,,,8,17
18,YldForm,1087,,,8,18
19,CCmin,0.0029,,,8,19
20,Zmin,0.3,,,8,20
21,Zmax,2,,3,8,21
22,PctZmin,70,,,8,22
23,fshape_r,1.3,,,8,23
24,Kcb,1.1,,,8,24
25,fage,0.3,,,8,25
26,fwcc,60,,,8,26
27,SxTopQ,0.05,,,8,27
28,SxBotQ,0.015,,,8,28
29,a_Tr,1,,,8,29
30,WP,18,,,8,30
31,WPy,60,,,8,31
32,fsink,0.5,,,8,32
33,bsted,0.000138,,,8,33
34,bface,0.001165,,,8,34
35,HI0,35,,,8,35
36,HIini,0.01,,,8,36
37,dHI_pre,5,,,8,37
38,exc,100,,,8,38
39,a_HI,,,,8,39
40,b_HI,3,,,8,40
41,dHI0,10,,,8,41
42,p_up1,0.15,,,8,42
43,p_lo1,0.65,,,8,43
44,fshape_w1,2.5,,,8,44
45,p_up2,0.6,,,8,45
46,p_lo2,1,,,8,46
47,fshape_w2,2.5,,,8,47
48,p_up3,0.7,,,8,48
49,p_lo3,1,,,8,49
50,beta,12,,,8,50
51,fshape_w3,2.5,,,8,51
52,,,,,8,52
53,p_up4,0.85,,,8,53
54,p_lo4,1,,,8,54
55,fshape_w4,1,,,8,55
56,Aer,5,,,8,56
57,LagAer,3,,,8,57
58,fshape_ex,-6,,,8,58
59,ETadj,1,,,8,59
60,GermThr,0.2,,,8,60
61,PolHeatStress,1,,,8,61
62,PolColdStress,1,,,8,62
63,Tmin_up,10,,,8,63
64,Tmin_lo,5,,,8,64
65,Tmax_up,40,,,8,65
66,Tmax_lo,45,,,8,66
67,BioTempStress,1,,,8,67
68,GDD_up,12,,,8,68
69,GDD_lo,0,,,8,69
70,fshape_b,13.8135,,,8,70
71,Ece_n,2,,,8,71
72,Ece_x,12,,,8,72
