id,name,value,min,max,crop_id,parameter_id
1,CropType,3,,,14,1
2,Tbase,10,,,14,2
3,Tupp,30,,,14,3
4,SeedSize,0.25,,,14,4
5,PlantPop,10000000,,,14,5
6,Emergence,14,,,14,6
7,CGC,0.146,,,14,7
8,CCx,81,80,90,14,8
9,Senescence,75,,,14,9
10,CDC,0.116,,,14,10
11,Maturity,99,,,14,11
12,MaxRooting,55,,,14,12
13,,55,,,14,13
14,Flowering,11,,,14,14
15,Determinant,1,,,14,15
16,MaxFlowPct,33.33,,,14,16
17,HIstart,55,,,14,17
18,YldForm,40,,,14,18
19,CCmin,0.025,,,14,19
20,Zmin,0.3,,,14,20
21,Zmax,0.6,,,14,21
22,PctZmin,70,,,14,22
23,fshape_r,1.5,,,14,23
24,Kcb,1.1,,,14,24
25,fage,0.3,,,14,25
26,fwcc,60,,,14,26
27,SxTopQ,0.023,,,14,27
28,SxBotQ,0.008,,,14,28
29,a_Tr,1,,,14,29
30,WP,14,,,14,30
31,WPy,100,,,14,31
32,fsink,0.5,,,14,32
33,bsted,0.000138,,,14,33
34,bface,0.001165,,,14,34
35,HI0,27,,,14,35
36,HIini,0.01,,,14,36
37,dHI_pre,0,,,14,37
38,exc,50,,,14,38
39,a_HI,0.5,,,14,39
40,b_HI,10,,,14,40
41,dHI0,40,,,14,41
42,p_up1,0.32,,,14,42
43,p_lo1,0.66,,,14,43
44,fshape_w1,3,,,14,44
45,p_up2,0.6,,,14,45
46,p_lo2,1,,,14,46
47,fshape_w2,3,,,14,47
48,p_up3,0.58,,,14,48
49,p_lo3,1,,,14,49
50,beta,12,,,14,50
51,fshape_w3,3,,,14,51
52,,,,,14,52
53,p_up4,0.92,,,14,53
54,p_lo4,1,,,14,54
55,fshape_w4,1,,,14,55
56,Aer,6,,,14,56
57,LagAer,3,,,14,57
58,fshape_ex,-6,,,14,58
59,ETadj,1,,,14,59
60,GermThr,0.2,,,14,60
61,PolHeatStress,1,,,14,61
62,PolColdStress,1,,,14,62
63,Tmin_up,8,,,14,63
64,Tmin_lo,3,,,14,64
65,Tmax_up,40,,,14,65
66,Tmax_lo,45,,,14,66
67,BioTempStress,1,,,14,67
68,GDD_up,11.1,,,14,68
69,GDD_lo,0,,,14,69
70,fshape_b,13.8135,,,14,70
71,Ece_n,2,,,14,71
72,Ece_x,12,,,14,72
