id,name,value,min,max,crop_id,parameter_id
1,CropType,3,,,9,1
2,Tbase,7,,,9,2
3,Tupp,28,,,9,3
4,SeedSize,20,,,9,4
5,PlantPop,33333,15000,80000,9,5
6,Emergence,43,40,80,9,6
7,CGC,0.0075,,,9,7
8,CCx,0.75,,,9,8
9,Senescence,1533,,,9,9
10,CDC,0.004,,,9,10
11,Maturity,1933,,,9,11
12,MaxRooting,891,,,9,12
13,,,,,9,13
14,Flowering,750,600,900,9,14
15,Determinant,0,,,9,15
16,MaxFlowPct,33.33,,,9,16
17,HIstart,525,,,9,17
18,YldForm,1050,,,9,18
19,CCmin,0.0067,,,9,19
20,Zmin,0.3,,,9,20
21,Zmax,1,,2,9,21
22,PctZmin,70,,,9,22
23,fshape_r,1.5,,,9,23
24,Kcb,1.1,,,9,24
25,fage,0.15,,,9,25
26,fwcc,60,,,9,26
27,SxTopQ,0.024,,,9,27
28,SxBotQ,0.006,,,9,28
29,a_Tr,1,,,9,29
30,WP,18,,,9,30
31,WPy,100,,,9,31
32,fsink,0.5,,,9,32
33,bsted,0.000138,,,9,33
34,bface,0.001165,,,9,34
35,HI0,63,55,65,9,35
36,HIini,0.01,,,9,36
37,dHI_pre,0,,,9,37
38,exc,100,,,9,38
39,a_HI,-9,,,9,39
40,b_HI,3,,,9,40
41,dHI0,15,,,9,41
42,p_up1,0.15,,,9,42
43,p_lo1,0.55,,,9,43
44,fshape_w1,3,,,9,44
45,p_up2,0.5,,,9,45
46,p_lo2,1,,,9,46
47,fshape_w2,3,,,9,47
48,p_up3,0.7,,,9,48
49,p_lo3,1,,,9,49
50,beta,12,,,9,50
51,fshape_w3,3,,,9,51
52,,,,,9,52
53,p_up4,0.92,,,9,53
54,p_lo4,1,,,9,54
55,fshape_w4,1,,,9,55
56,Aer,5,,,9,56
57,LagAer,3,,,9,57
58,fshape_ex,-6,,,9,58
59,ETadj,1,,,9,59
60,GermThr,0.2,,,9,60
61,PolHeatStress,1,,,9,61
62,PolColdStress,1,,,9,62
63,Tmin_up,10,,,9,63
64,Tmin_lo,5,,,9,64
65,Tmax_up,40,,,9,65
66,Tmax_lo,45,,,9,66
67,BioTempStress,0,,,9,67
68,GDD_up,,,,9,68
69,GDD_lo,,,,9,69
70,fshape_b,13.8135,,,9,70
71,Ece_n,1.7,,,9,71
72,Ece_x,12.8,,,9,72
