id,name,value,min,max,crop_id,parameter_id
1,CropType,3,,,10,1
2,Tbase,0,,,10,2
3,Tupp,26,,,10,3
4,SeedSize,1.5,,,10,4
5,PlantPop,4500000,2000000,7000000,10,5
6,Emergence,150,100,250,10,6
7,CGC,0.005,0.005,0.007,10,7
8,CCx,0.96,80,99,10,8
9,Senescence,1700,,,10,9
10,CDC,0.004,,,10,10
11,Maturity,2400,,,10,11
12,MaxRooting,864,,,10,12
13,,,,,10,13
14,Flowering,200,150,280,10,14
15,Determinant,1,,,10,15
16,MaxFlowPct,33.33,,,10,16
17,HIstart,1250,,,10,17
18,YldForm,1100,,,10,18
19,CCmin,0.0675,,,10,19
20,Zmin,0.3,,,10,20
21,Zmax,1.5,,2.4,10,21
22,PctZmin,70,,,10,22
23,fshape_r,1.5,,,10,23
24,Kcb,1.1,,,10,24
25,fage,0.15,,,10,25
26,fwcc,50,,,10,26
27,SxTopQ,0.028,,,10,27
28,SxBotQ,0.008,,,10,28
29,a_Tr,1,,,10,29
30,WP,15,,,10,30
31,WPy,100,,,10,31
32,fsink,0.5,,,10,32
33,bsted,0.000138,,,10,33
34,bface,0.001165,,,10,34
35,HI0,48,45,50,10,35
36,HIini,0.01,,,10,36
37,dHI_pre,5,,,10,37
38,exc,100,,,10,38
39,a_HI,10,,,10,39
40,b_HI,7,,,10,40
41,dHI0,15,,,10,41
42,p_up1,0.2,,,10,42
43,p_lo1,0.65,,,10,43
44,fshape_w1,5,,,10,44
45,p_up2,0.65,,,10,45
46,p_lo2,1,,,10,46
47,fshape_w2,2.5,,,10,47
48,p_up3,0.7,,,10,48
49,p_lo3,1,,,10,49
50,beta,12,,,10,50
51,fshape_w3,2.5,,,10,51
52,,,,,10,52
53,p_up4,0.85,,,10,53
54,p_lo4,1,,,10,54
55,fshape_w4,1,,,10,55
56,Aer,5,,,10,56
57,LagAer,3,,,10,57
58,fshape_ex,-6,,,10,58
59,ETadj,1,,,10,59
60,GermThr,0.2,,,10,60
61,PolHeatStress,1,,,10,61
62,PolColdStress,1,,,10,62
63,Tmin_up,5,,,10,63
64,Tmin_lo,0,,,10,64
65,Tmax_up,35,,,10,65
66,Tmax_lo,40,,,10,66
67,BioTempStress,1,,,10,67
68,GDD_up,14,,,10,68
69,GDD_lo,0,,,10,69
70,fshape_b,13.8135,,,10,70
71,Ece_n,6,,,10,71
72,Ece_x,20.1,,,10,72
